iter	Passed	Remaining
0	1	154
1	2	143
2	4	132
3	4	119
4	6	117
5	7	118
6	8	116
7	10	115
8	11	115
9	12	113
10	13	111
11	15	110
12	16	108
13	17	107
14	18	105
15	19	103
16	20	102
17	21	100
18	23	98
19	24	96
20	25	95
21	26	93
22	27	92
23	28	90
24	29	88
25	30	87
26	31	85
27	32	84
28	34	83
29	35	82
30	36	81
31	37	80
32	39	79
33	40	78
34	41	77
35	42	76
36	43	74
37	45	73
38	46	72
39	47	71
40	48	70
41	49	68
42	50	67
43	51	65
44	53	64
45	54	63
46	55	62
47	56	61
48	58	60
49	59	59
50	61	58
51	62	57
52	63	56
53	65	55
54	66	54
55	67	53
56	69	52
57	70	51
58	72	50
59	73	49
60	75	48
61	76	47
62	78	45
63	79	44
64	80	43
65	82	42
66	84	41
67	86	40
68	88	39
69	89	38
70	91	37
71	93	36
72	95	35
73	97	34
74	98	32
75	100	31
76	102	30
77	104	29
78	105	28
79	107	26
80	109	25
81	111	24
82	112	23
83	113	21
84	116	20
85	118	19
86	119	17
87	121	16
88	122	15
89	124	13
90	125	12
91	126	11
92	128	9
93	129	8
94	131	6
95	132	5
96	133	4
97	135	2
98	136	1
99	137	0
